lang,binL,binA,binB,human_mass,dominant_prop,n_surface_labels,n_head_labels
english,6,5,6,235,0.7021276595744681,39,34
english,7,3,7,235,0.7872340425531915,35,31
english,5,-4,3,234,0.6538461538461539,39,35
english,8,0,8,233,0.43776824034334766,47,43
english,6,-4,0,232,0.2974137931034483,47,40
english,5,7,0,231,0.5108225108225108,42,34
english,6,-2,-4,231,0.6147186147186147,45,34
english,5,8,-5,231,0.2683982683982684,46,34
english,8,-6,5,230,0.6608695652173913,45,39
english,2,4,-6,230,0.3,39,29
english,7,-5,3,230,0.6260869565217392,58,47
english,7,-5,1,230,0.23478260869565218,56,46
english,5,1,-6,230,0.6956521739130435,42,37
english,4,6,4,229,0.6768558951965066,43,37
english,5,-4,4,229,0.6899563318777293,32,31
english,5,7,-1,229,0.5109170305676856,37,29
english,6,8,-5,229,0.4366812227074236,49,36
english,4,7,-7,227,0.6916299559471366,34,27
english,6,9,-6,225,0.4177777777777778,36,25
english,6,-3,-1,225,0.36,62,55
english,8,-4,7,224,0.4107142857142857,39,34
english,6,-5,6,224,0.7232142857142857,46,39
english,4,1,-6,224,0.6830357142857143,45,40
english,5,-4,2,221,0.6244343891402715,43,39
english,3,2,-6,220,0.6090909090909091,35,25
english,8,-7,5,219,0.6757990867579908,42,33
english,9,-6,2,219,0.228310502283105,64,47
english,3,3,-7,218,0.6284403669724771,38,32
english,5,2,-7,217,0.631336405529954,49,41
english,4,6,0,216,0.24537037037037038,59,46
english,8,-5,2,216,0.2175925925925926,55,48
english,6,8,-4,215,0.5488372093023256,34,25
english,4,0,-4,213,0.5727699530516432,52,45
english,8,-3,-3,213,0.48826291079812206,36,27
english,7,-2,-3,213,0.5023474178403756,34,30
english,8,-3,7,212,0.29245283018867924,51,44
english,3,5,4,211,0.3696682464454976,45,41
english,4,6,-3,211,0.33175355450236965,49,37
english,5,6,6,209,0.4354066985645933,46,44
english,9,-6,8,209,0.5023923444976076,33,23
english,4,6,-5,207,0.7198067632850241,28,23
english,4,6,-2,206,0.3155339805825243,61,51
english,3,1,-5,206,0.5436893203883495,33,28
english,5,-2,-3,205,0.4097560975609756,56,46
english,3,4,-8,204,0.6176470588235294,38,30
english,5,-3,-1,204,0.3137254901960784,53,42
english,4,5,5,203,0.3694581280788177,54,49
english,5,7,-3,203,0.3399014778325123,35,26
english,6,4,6,202,0.7277227722772277,30,26
english,6,-4,6,202,0.6386138613861386,44,34
english,6,2,6,201,0.25870646766169153,62,57
english,4,6,3,201,0.4925373134328358,50,43
english,6,-5,2,201,0.582089552238806,50,42
english,7,2,7,200,0.46,50,44
english,2,3,-6,200,0.53,32,29
english,6,0,-5,199,0.6130653266331658,36,31
english,5,7,-2,199,0.3969849246231156,36,27
english,5,0,-6,198,0.7626262626262627,29,24
english,4,6,-4,198,0.5656565656565656,42,32
english,6,3,6,198,0.3888888888888889,56,49
english,7,-4,6,198,0.5707070707070707,39,34
english,4,-3,1,197,0.49746192893401014,41,30
english,5,-2,5,196,0.34183673469387754,57,51
english,6,-1,-4,196,0.5714285714285714,42,34
english,5,7,-4,196,0.29591836734693877,43,29
english,3,6,-8,195,0.441025641025641,33,26
english,5,8,-1,194,0.6855670103092784,29,23
english,8,-5,-1,194,0.21649484536082475,29,22
english,6,-3,6,194,0.4484536082474227,53,45
english,9,-4,-1,194,0.30412371134020616,39,29
english,8,-7,8,193,0.6839378238341969,30,24
english,5,-3,5,193,0.5233160621761658,53,45
english,4,-4,3,193,0.6010362694300518,29,26
english,9,-7,7,193,0.6373056994818653,31,25
english,5,8,-3,191,0.43455497382198954,29,22
english,7,4,7,191,0.8795811518324608,23,19
english,9,-6,3,191,0.3507853403141361,54,41
english,4,-2,-1,191,0.24083769633507854,62,51
english,5,7,-6,190,0.5789473684210527,33,28
english,6,8,-3,190,0.6263157894736842,32,26
english,6,1,6,190,0.21052631578947367,61,55
english,7,-3,6,190,0.47368421052631576,49,42
