lang,binL,binA,binB,human_mass,dominant_prop,n_surface_labels,n_head_labels
chinese,9,-4,8,9,1.0,7,1
chinese,5,-1,5,9,0.6666666666666666,9,2
chinese,6,-1,-2,9,0.5555555555555556,8,4
chinese,7,-2,-3,9,0.6666666666666666,7,3
chinese,4,6,-2,9,0.5555555555555556,7,3
chinese,5,-2,-3,9,0.5555555555555556,8,4
chinese,2,2,-5,9,0.6666666666666666,6,3
chinese,7,-4,-1,9,0.3333333333333333,7,4
chinese,6,3,-5,9,0.8888888888888888,6,2
chinese,6,0,1,9,0.7777777777777778,4,3
chinese,5,7,-6,9,0.8888888888888888,4,2
chinese,1,3,-5,9,0.4444444444444444,7,4
chinese,3,5,-7,9,0.7777777777777778,5,2
chinese,8,-1,3,9,0.6666666666666666,8,4
chinese,5,-3,1,9,0.6666666666666666,7,2
chinese,5,-5,4,9,0.8888888888888888,5,2
chinese,5,7,-4,9,0.4444444444444444,8,3
chinese,4,5,-9,9,0.3333333333333333,9,5
chinese,7,-3,6,9,1.0,8,1
chinese,9,-3,7,9,0.4444444444444444,8,4
chinese,6,0,-3,9,0.8888888888888888,6,2
chinese,3,5,0,9,0.5555555555555556,9,3
chinese,9,-2,3,9,0.5555555555555556,7,3
chinese,7,2,7,9,0.4444444444444444,6,4
chinese,7,3,2,9,0.4444444444444444,9,4
chinese,4,-2,-1,9,0.6666666666666666,8,3
chinese,5,7,-2,9,0.3333333333333333,9,4
chinese,1,2,-3,9,0.4444444444444444,6,4
chinese,9,-6,8,9,0.7777777777777778,8,2
chinese,4,0,-5,9,1.0,5,1
chinese,2,4,-6,9,0.4444444444444444,6,3
chinese,4,-3,2,9,1.0,4,1
chinese,6,6,5,9,0.7777777777777778,7,3
chinese,3,1,-2,9,0.4444444444444444,8,4
chinese,6,-3,0,9,0.5555555555555556,8,5
chinese,7,-2,1,9,0.8888888888888888,9,2
chinese,4,2,-2,9,0.5555555555555556,5,3
chinese,5,0,-6,9,0.5555555555555556,5,2
chinese,4,6,5,9,0.8888888888888888,6,2
chinese,3,1,-4,9,0.7777777777777778,4,3
chinese,4,-4,4,9,0.6666666666666666,8,2
chinese,9,-1,2,9,0.3333333333333333,7,5
chinese,2,3,-5,9,0.5555555555555556,8,3
chinese,4,-2,4,9,0.8888888888888888,7,2
chinese,6,3,-3,9,0.7777777777777778,6,3
