lang,binL,binA,binB,human_mass,dominant_prop,n_surface_labels,n_head_labels
korean,9,-5,0,23,0.21739130434782608,14,14
korean,4,-3,1,22,0.3181818181818182,13,12
korean,5,7,-1,22,0.36363636363636365,9,8
korean,8,-6,6,22,0.5909090909090909,6,6
korean,4,7,-9,22,0.5,9,8
korean,5,7,1,22,0.22727272727272727,12,11
korean,4,4,-9,22,0.5909090909090909,6,5
korean,7,-5,1,22,0.3181818181818182,9,8
korean,6,-3,-2,22,0.3181818181818182,12,11
korean,6,4,6,22,0.6818181818181818,7,7
korean,4,6,-5,22,0.8181818181818182,3,3
korean,8,0,8,22,0.2727272727272727,8,8
korean,1,2,-4,21,0.7619047619047619,7,6
korean,4,-3,4,21,0.23809523809523808,11,9
korean,6,-1,-4,21,0.2857142857142857,10,9
korean,8,1,7,21,0.23809523809523808,10,10
korean,9,-6,1,21,0.3333333333333333,14,13
korean,9,-1,9,21,0.5238095238095238,8,7
korean,6,9,-5,21,0.2857142857142857,13,11
korean,5,7,0,21,0.2857142857142857,12,12
korean,4,0,-5,21,0.2857142857142857,9,9
korean,3,6,-8,21,0.42857142857142855,11,9
korean,9,-7,6,21,0.42857142857142855,10,9
korean,8,-2,-3,21,0.8095238095238095,4,4
korean,5,8,1,21,0.2857142857142857,10,9
korean,8,1,3,21,0.3333333333333333,8,8
korean,5,-4,2,21,0.38095238095238093,11,9
korean,7,5,-2,21,0.6666666666666666,4,4
korean,5,2,-7,20,0.35,10,9
korean,8,1,8,20,0.3,9,9
korean,7,3,6,20,0.5,8,8
korean,6,8,-3,20,0.25,11,9
korean,6,-4,2,20,0.5,8,7
korean,4,6,4,20,0.55,10,9
korean,8,-3,7,20,0.55,7,7
korean,6,7,-3,20,0.4,7,7
korean,6,3,6,20,0.5,5,5
korean,4,5,4,20,0.2,15,14
korean,5,7,3,20,0.5,8,8
korean,6,8,-2,20,0.25,10,10
korean,8,-5,2,20,0.2,12,12
korean,5,8,-6,20,0.25,13,13
korean,6,6,-4,20,0.25,15,13
korean,7,-5,6,20,0.5,3,3
korean,7,-4,1,19,0.3684210526315789,12,11
korean,4,1,-6,19,0.47368421052631576,6,6
korean,6,-4,0,19,0.631578947368421,7,7
korean,7,-2,-3,19,0.7894736842105263,4,4
korean,8,-4,7,19,0.7368421052631579,7,4
korean,3,1,-5,19,0.47368421052631576,4,4
korean,8,-3,2,19,0.21052631578947367,14,13
korean,8,2,1,19,0.2631578947368421,10,10
korean,4,5,-8,19,0.2631578947368421,9,9
korean,5,8,-3,19,0.21052631578947367,10,10
korean,3,-3,2,19,0.3157894736842105,12,11
korean,4,6,2,19,0.2631578947368421,13,13
korean,8,-1,7,19,0.21052631578947367,14,14
korean,9,-4,-1,19,0.631578947368421,9,8
korean,7,2,6,19,0.2631578947368421,11,11
korean,8,-3,0,19,0.2631578947368421,12,11
korean,9,-3,3,19,0.42105263157894735,11,10
korean,9,-2,7,19,0.2631578947368421,10,9
korean,4,2,-7,19,0.5789473684210527,7,6
korean,6,6,-3,19,0.5263157894736842,11,10
korean,5,-3,-1,19,0.631578947368421,8,8
korean,5,8,5,18,0.4444444444444444,5,5
korean,5,1,5,18,0.3888888888888889,9,7
korean,5,5,-3,18,0.5,8,8
korean,7,1,-3,18,0.6111111111111112,6,5
korean,7,4,0,18,0.5555555555555556,6,6
korean,2,4,-2,18,0.3888888888888889,9,6
korean,5,1,-5,18,0.3888888888888889,6,6
korean,8,-2,6,18,0.5,8,7
korean,6,4,5,18,0.3888888888888889,10,9
korean,4,5,-2,18,0.3333333333333333,7,7
korean,7,3,0,18,0.4444444444444444,9,8
korean,8,-4,6,18,0.6666666666666666,6,5
