lang,binL,binA,binB,sample_idx,rgb_R,rgb_G,rgb_B,gpt_raw
korean,5,-4,5,2,68,135,23,초록색
korean,2,3,-6,0,19,34,145,파랑
korean,2,3,-6,1,19,34,145,파랑
korean,2,3,-6,2,19,34,145,파랑
korean,7,-3,-2,0,64,192,202,하늘색
korean,7,-3,-2,1,64,192,202,청록색
korean,7,-3,-2,2,64,192,202,하늘색
korean,5,1,-6,0,22,106,217,파랑
korean,5,1,-6,1,22,106,217,파랑
korean,5,1,-6,2,22,106,217,파랑
korean,5,6,6,0,199,55,11,주황색
korean,5,6,6,1,199,55,11,주황색
korean,5,6,6,2,199,55,11,주황색
korean,6,0,-6,0,40,135,240,파랑
korean,6,0,-6,1,40,135,240,파랑
korean,6,0,-6,2,40,135,240,파랑
korean,5,-2,-2,0,58,116,135,파랑
korean,5,-2,-2,1,58,116,135,파랑
korean,5,-2,-2,2,58,116,135,파랑
korean,7,-6,4,0,1,197,90,초록색
korean,7,-6,4,1,1,197,90,초록색
korean,7,-6,4,2,1,197,90,초록색
korean,7,-6,7,0,69,202,24,초록색
korean,7,-6,7,1,69,202,24,초록색
korean,7,-6,7,2,69,202,24,초록색
korean,5,7,4,0,229,15,64,빨강
korean,5,7,4,1,229,15,64,빨강
korean,5,7,4,2,229,15,64,빨강
korean,5,1,-7,0,12,122,254,파랑
korean,5,1,-7,1,12,122,254,파랑
korean,5,1,-7,2,12,122,254,파랑
korean,6,-5,6,0,59,155,3,초록색
korean,6,-5,6,1,59,155,3,초록색
korean,6,-5,6,2,59,155,3,초록색
korean,7,-3,6,0,133,186,31,연두색
korean,7,-3,6,1,133,186,31,연두색
korean,7,-3,6,2,133,186,31,연두색
korean,5,0,-5,0,12,123,211,파랑
korean,5,0,-5,1,12,123,211,파랑
korean,5,0,-5,2,12,123,211,파랑
korean,3,4,-8,0,25,36,192,파랑
korean,3,4,-8,1,25,36,192,파랑
korean,3,4,-8,2,25,36,192,파랑
korean,7,-2,-4,0,53,179,243,하늘색
korean,7,-2,-4,1,53,179,243,하늘색
korean,7,-2,-4,2,53,179,243,하늘색
korean,8,-6,5,0,82,234,103,연두색
korean,8,-6,5,1,82,234,103,연두색
korean,8,-6,5,2,82,234,103,연두색
korean,6,5,6,0,231,92,26,주황색
korean,6,5,6,1,231,92,26,주황색
korean,6,5,6,2,231,92,26,주황색
korean,9,-6,8,0,129,248,16,연두색
korean,9,-6,8,1,129,248,16,연두색
korean,9,-6,8,2,129,248,16,연두색
korean,7,3,7,0,222,140,27,주황색
korean,7,3,7,1,222,140,27,주황색
korean,7,3,7,2,222,140,27,주황색
korean,3,3,-7,0,6,52,176,파랑
korean,3,3,-7,1,6,52,176,파랑
korean,3,3,-7,2,6,52,176,파랑
korean,5,7,5,0,213,21,39,빨강
korean,5,7,5,1,213,21,39,빨강
korean,5,7,5,2,213,21,39,빨강
korean,9,-5,8,0,147,253,35,연두색
korean,9,-5,8,1,147,253,35,연두색
korean,9,-5,8,2,147,253,35,연두색
korean,4,6,-6,0,129,33,183,보라색
korean,4,6,-6,1,129,33,183,보라색
korean,4,6,-6,2,129,33,183,보라색
korean,4,7,-7,0,171,18,221,보라색
korean,4,7,-7,1,171,18,221,보라색
korean,4,7,-7,2,171,18,221,보라색
korean,6,-4,1,0,54,157,123,청록색
korean,6,-4,1,1,54,157,123,청록색
korean,6,-4,1,2,54,157,123,청록색
korean,4,-2,-1,0,41,94,101,청록색
korean,4,-2,-1,1,41,94,101,청록색
korean,4,-2,-1,2,41,94,101,청록색
korean,4,6,-2,0,181,36,133,자주색
korean,4,6,-2,1,181,36,133,자주색
korean,4,6,-2,2,181,36,133,자주색
korean,2,5,-8,0,34,6,178,보라색
korean,2,5,-8,1,34,6,178,파랑
korean,2,5,-8,2,34,6,178,파랑
korean,4,-3,0,0,23,113,97,청록색
korean,4,-3,0,1,23,113,97,청록색
korean,4,-3,0,2,23,113,97,청록색
korean,8,-7,5,0,43,232,91,연두색
korean,8,-7,5,1,43,232,91,초록색
korean,8,-7,5,2,43,232,91,초록색
korean,4,7,-8,0,135,20,227,보라색
korean,4,7,-8,1,135,20,227,보라색
korean,4,7,-8,2,135,20,227,보라색
korean,6,-5,4,0,61,178,72,초록색
korean,6,-5,4,1,61,178,72,초록색
korean,6,-5,4,2,61,178,72,초록색
korean,9,-7,8,0,60,251,10,연두색
korean,9,-7,8,1,60,251,10,초록색
korean,9,-7,8,2,60,251,10,초록색
korean,9,-5,0,0,30,239,216,청록색
korean,9,-5,0,1,30,239,216,민트색
korean,9,-5,0,2,30,239,216,민트색
korean,4,-3,1,0,38,96,68,녹색
korean,4,-3,1,1,38,96,68,녹색
korean,4,-3,1,2,38,96,68,초록색
korean,5,7,-1,0,234,45,150,핑크색
korean,5,7,-1,1,234,45,150,분홍색
korean,5,7,-1,2,234,45,150,핑크색
korean,8,-6,6,0,92,220,54,초록색
korean,8,-6,6,1,92,220,54,연두색
korean,8,-6,6,2,92,220,54,연두색
korean,4,7,-9,0,124,2,243,보라색
korean,4,7,-9,1,124,2,243,보라색
korean,4,7,-9,2,124,2,243,보라색
korean,5,7,1,0,239,48,123,분홍색
korean,5,7,1,1,239,48,123,핑크
korean,5,7,1,2,239,48,123,분홍색
korean,4,4,-9,0,52,64,236,파랑
korean,4,4,-9,1,52,64,236,파랑
korean,4,4,-9,2,52,64,236,파랑
korean,7,-5,1,0,5,185,149,청록색
korean,7,-5,1,1,5,185,149,청록색
korean,7,-5,1,2,5,185,149,청록색
korean,6,-3,-2,0,16,160,170,청록색
korean,6,-3,-2,1,16,160,170,청록색
korean,6,-3,-2,2,16,160,170,청록색
korean,6,4,6,0,217,105,33,주황색
korean,6,4,6,1,217,105,33,주황색
korean,6,4,6,2,217,105,33,주황색
korean,4,6,-5,0,158,43,190,보라색
korean,4,6,-5,1,158,43,190,보라색
korean,4,6,-5,2,158,43,190,보라색
korean,8,0,8,0,224,196,15,노랑
korean,8,0,8,1,224,196,15,노랑
korean,8,0,8,2,224,196,15,노랑
korean,1,2,-4,0,32,21,96,남색
korean,1,2,-4,1,32,21,96,남색
korean,1,2,-4,2,32,21,96,남색
korean,4,-3,4,0,65,113,20,녹색
korean,4,-3,4,1,65,113,20,녹색
korean,4,-3,4,2,65,113,20,녹색
korean,6,-1,-4,0,100,156,218,하늘색
korean,6,-1,-4,1,100,156,218,하늘색
korean,6,-1,-4,2,100,156,218,파랑
korean,8,1,7,0,238,183,48,노랑
korean,8,1,7,1,238,183,48,노랑
korean,8,1,7,2,238,183,48,노랑
korean,9,-6,1,0,2,254,211,청록색
korean,9,-6,1,1,2,254,211,청록색
korean,9,-6,1,2,2,254,211,청록색
korean,9,-1,9,0,251,242,14,노랑
korean,9,-1,9,1,251,242,14,노랑
korean,9,-1,9,2,251,242,14,노랑
korean,6,9,-5,0,254,12,238,자주색
korean,6,9,-5,1,254,12,238,분홍색
korean,6,9,-5,2,254,12,238,분홍색
korean,5,7,0,0,234,50,137,분홍색
korean,5,7,0,1,234,50,137,핑크
korean,5,7,0,2,234,50,137,분홍색
korean,4,0,-5,0,42,96,173,파랑
korean,4,0,-5,1,42,96,173,파랑
korean,4,0,-5,2,42,96,173,파랑
korean,3,6,-8,0,90,6,208,보라색
korean,3,6,-8,1,90,6,208,보라색
korean,3,6,-8,2,90,6,208,보라색
korean,9,-7,6,0,7,252,91,초록색
korean,9,-7,6,1,7,252,91,초록색
korean,9,-7,6,2,7,252,91,초록색
korean,8,-2,-3,0,87,203,250,하늘색
korean,8,-2,-3,1,87,203,250,하늘색
korean,8,-2,-3,2,87,203,250,하늘색
korean,5,8,1,0,237,11,117,핑크
korean,5,8,1,1,237,11,117,분홍색
korean,5,8,1,2,237,11,117,자홍색
korean,8,1,3,0,224,180,134,살구색
korean,8,1,3,1,224,180,134,살구색
korean,8,1,3,2,224,180,134,살구색
korean,5,-4,2,0,46,140,81,초록색
korean,5,-4,2,1,46,140,81,초록色
korean,5,-4,2,2,46,140,81,초록색
korean,7,5,-2,0,245,130,199,핑크색
korean,7,5,-2,1,245,130,199,분홍색
korean,7,5,-2,2,245,130,199,분홍색
korean,5,2,-7,0,58,100,235,파랑
korean,5,2,-7,1,58,100,235,파랑
korean,5,2,-7,2,58,100,235,파랑
korean,8,1,8,0,252,199,34,노랑
korean,8,1,8,1,252,199,34,노랑
korean,8,1,8,2,252,199,34,노랑
korean,7,3,6,0,231,149,46,주황색
korean,7,3,6,1,231,149,46,주황색
korean,7,3,6,2,231,149,46,주황색
korean,6,8,-3,0,251,24,187,분홍색
korean,6,8,-3,1,251,24,187,분홍색
korean,6,8,-3,2,251,24,187,분홍색
korean,6,-4,2,0,18,154,100,녹색
korean,6,-4,2,1,18,154,100,초록색
korean,6,-4,2,2,18,154,100,초록색
korean,4,6,4,0,191,25,38,빨강
korean,4,6,4,1,191,25,38,빨강
korean,4,6,4,2,191,25,38,빨강
korean,8,-3,7,0,163,208,29,연두색
korean,8,-3,7,1,163,208,29,연두색
korean,8,-3,7,2,163,208,29,연두색
korean,6,7,-3,0,225,63,179,분홍색
korean,6,7,-3,1,225,63,179,핑크
korean,6,7,-3,2,225,63,179,분홍색
korean,6,3,6,0,209,126,42,주황색
korean,6,3,6,1,209,126,42,주황색
korean,6,3,6,2,209,126,42,주황색
korean,4,5,4,0,163,35,33,빨강
korean,4,5,4,1,163,35,33,빨강
korean,4,5,4,2,163,35,33,빨간색
korean,5,7,3,0,225,24,71,빨간색
korean,5,7,3,1,225,24,71,빨강
korean,5,7,3,2,225,24,71,빨강
korean,6,8,-2,0,247,3,171,핑크
korean,6,8,-2,1,247,3,171,핑크
korean,6,8,-2,2,247,3,171,핑크
korean,8,-5,2,0,74,210,157,민트색
korean,8,-5,2,1,74,210,157,민트색
korean,8,-5,2,2,74,210,157,민트색
korean,5,8,-6,0,206,43,240,보라색
korean,5,8,-6,1,206,43,240,보라색
korean,5,8,-6,2,206,43,240,보라색
korean,6,6,-4,0,206,89,216,보라색
korean,6,6,-4,1,206,89,216,보라색
korean,6,6,-4,2,206,89,216,자주색
korean,7,-5,6,0,72,180,30,초록색
korean,7,-5,6,1,72,180,30,초록색
korean,7,-5,6,2,72,180,30,초록색
korean,7,-4,1,0,80,180,134,청록색
korean,7,-4,1,1,80,180,134,초록색
korean,7,-4,1,2,80,180,134,청록색
korean,4,1,-6,0,24,96,191,파랑
korean,4,1,-6,1,24,96,191,파랑
korean,4,1,-6,2,24,96,191,파랑
korean,6,-4,0,0,50,170,157,청록색
korean,6,-4,0,1,50,170,157,청록색
korean,6,-4,0,2,50,170,157,청록색
korean,7,-2,-3,0,83,178,215,하늘색
korean,7,-2,-3,1,83,178,215,하늘색
korean,7,-2,-3,2,83,178,215,하늘색
korean,8,-4,7,0,139,215,46,연두색
korean,8,-4,7,1,139,215,46,연두색
korean,8,-4,7,2,139,215,46,연두색
korean,3,1,-5,0,12,71,159,파랑
korean,3,1,-5,1,12,71,159,파랑
korean,3,1,-5,2,12,71,159,파랑
korean,8,-3,2,0,147,214,166,연두색
korean,8,-3,2,1,147,214,166,민트색
korean,8,-3,2,2,147,214,166,민트색
korean,8,2,1,0,220,175,173,핑크
korean,8,2,1,1,220,175,173,핑크
korean,8,2,1,2,220,175,173,핑크
korean,4,5,-8,0,81,56,213,보라색
korean,4,5,-8,1,81,56,213,보라색
korean,4,5,-8,2,81,56,213,보라색
korean,5,8,-3,0,216,15,172,자주색
korean,5,8,-3,1,216,15,172,자주색
korean,5,8,-3,2,216,15,172,자주색
korean,3,-3,2,0,13,93,50,녹색
korean,3,-3,2,1,13,93,50,녹색
korean,3,-3,2,2,13,93,50,초록색
korean,4,6,2,0,198,35,70,빨강
korean,4,6,2,1,198,35,70,빨강
korean,4,6,2,2,198,35,70,빨강
korean,8,-1,7,0,194,189,46,노랑
korean,8,-1,7,1,194,189,46,노랑
korean,8,-1,7,2,194,189,46,노랑
korean,9,-4,-1,0,103,249,252,청록색
korean,9,-4,-1,1,103,249,252,민트색
korean,9,-4,-1,2,103,249,252,민트색
korean,7,2,6,0,222,160,60,주황색
korean,7,2,6,1,222,160,60,주황색
korean,7,2,6,2,222,160,60,주황색
korean,8,-3,0,0,141,221,196,민트색
korean,8,-3,0,1,141,221,196,민트색
korean,8,-3,0,2,141,221,196,민트색
korean,9,-3,3,0,191,245,163,연두색
korean,9,-3,3,1,191,245,163,연두색
korean,9,-3,3,2,191,245,163,연두색
korean,9,-2,7,0,227,252,89,연두색
korean,9,-2,7,1,227,252,89,연두색
korean,9,-2,7,2,227,252,89,연두색
korean,4,2,-7,0,23,91,208,파랑
korean,4,2,-7,1,23,91,208,파랑
korean,4,2,-7,2,23,91,208,파란색
korean,6,6,-3,0,236,109,205,분홍색
korean,6,6,-3,1,236,109,205,분홍색
korean,6,6,-3,2,236,109,205,분홍색
korean,5,-3,-1,0,3,129,124,청록색
korean,5,-3,-1,1,3,129,124,청록색
korean,5,-3,-1,2,3,129,124,청록색
korean,5,8,5,0,252,2,42,빨강
korean,5,8,5,1,252,2,42,빨간색
korean,5,8,5,2,252,2,42,빨강
korean,5,1,5,0,142,113,23,갈색
korean,5,1,5,1,142,113,23,갈색
korean,5,1,5,2,142,113,23,갈색
korean,5,5,-3,0,170,65,157,자주색
korean,5,5,-3,1,170,65,157,보라색
korean,5,5,-3,2,170,65,157,자주색
korean,7,1,-3,0,183,177,232,보라색
korean,7,1,-3,1,183,177,232,보라색
korean,7,1,-3,2,183,177,232,보라색
korean,7,4,0,0,234,136,163,분홍색
korean,7,4,0,1,234,136,163,분홍색
korean,7,4,0,2,234,136,163,분홍색
korean,2,4,-2,0,93,19,77,자주색
korean,2,4,-2,1,93,19,77,자주색
korean,2,4,-2,2,93,19,77,자주색
korean,5,1,-5,0,62,110,196,파랑
korean,5,1,-5,1,62,110,196,파랑
korean,5,1,-5,2,62,110,196,파랑
korean,8,-2,6,0,188,206,67,연두색
korean,8,-2,6,1,188,206,67,연두색
korean,8,-2,6,2,188,206,67,연두색
korean,6,4,5,0,222,114,64,주황색
korean,6,4,5,1,222,114,64,주황색
korean,6,4,5,2,222,114,64,주황색
korean,4,5,-2,0,156,66,141,보라색
korean,4,5,-2,1,156,66,141,자주색
korean,4,5,-2,2,156,66,141,보라색
korean,7,3,0,0,227,149,178,분홍색
korean,7,3,0,1,227,149,178,분홍색
korean,7,3,0,2,227,149,178,분홍색
korean,8,-4,6,0,150,222,79,연두색
korean,8,-4,6,1,150,222,79,연두색
korean,8,-4,6,2,150,222,79,연두색
