lang,binL,binA,binB,sample_idx,rgb_R,rgb_G,rgb_B,gpt_raw
english,4,3,-8,1,36,93,246,Blue
english,4,3,-8,2,36,93,246,Blue.
english,3,6,-9,0,80,11,216,Purple
english,3,6,-9,1,80,11,216,Purple
english,3,6,-9,2,80,11,216,Purple
english,6,-5,4,0,61,178,72,Green
english,6,-5,4,1,61,178,72,Green
english,6,-5,4,2,61,178,72,Green
english,2,5,-8,0,34,6,178,Blue.
english,2,5,-8,1,34,6,178,Blue.
english,2,5,-8,2,34,6,178,Blue.
english,8,-5,1,0,27,215,159,Mint
english,8,-5,1,1,27,215,159,Turquoise
english,8,-5,1,2,27,215,159,Turquoise
english,5,-5,5,0,4,139,24,Green.
english,5,-5,5,1,4,139,24,Green
english,5,-5,5,2,4,139,24,Green
english,5,7,5,0,213,21,39,Red
english,5,7,5,1,213,21,39,Red
english,5,7,5,2,213,21,39,Red
english,4,4,-9,0,52,64,236,Blue
english,4,4,-9,1,52,64,236,Blue
english,4,4,-9,2,52,64,236,Blue.
english,9,-5,-1,0,47,240,229,Turquoise
english,9,-5,-1,1,47,240,229,Turquoise
english,9,-5,-1,2,47,240,229,Turquoise
english,4,-4,4,0,16,117,14,Green.
english,4,-4,4,1,16,117,14,Green
english,4,-4,4,2,16,117,14,Green
english,5,7,1,0,239,48,123,Pink
english,5,7,1,1,239,48,123,Pink
english,5,7,1,2,239,48,123,Pink
english,9,-2,8,0,208,223,20,Lime
english,9,-2,8,1,208,223,20,Lime
english,9,-2,8,2,208,223,20,Lime
english,7,-5,2,0,53,194,141,Turquoise
english,7,-5,2,1,53,194,141,Turquoise
english,7,-5,2,2,53,194,141,Turquoise
english,4,2,-7,0,23,91,208,Blue
english,4,2,-7,1,23,91,208,Blue
english,4,2,-7,2,23,91,208,Blue
english,7,-4,0,0,66,182,157,Turquoise
english,7,-4,0,1,66,182,157,Turquoise
english,7,-4,0,2,66,182,157,Turquoise
english,4,7,-9,0,124,2,243,Purple
english,4,7,-9,1,124,2,243,Purple
english,4,7,-9,2,124,2,243,Purple
english,6,-4,1,0,54,157,123,Teal
english,6,-4,1,1,54,157,123,Teal
english,6,-4,1,2,54,157,123,Teal
english,6,-3,-2,0,16,160,170,Turquoise
english,6,-3,-2,1,16,160,170,Turquoise
english,6,-3,-2,2,16,160,170,Turquoise
english,9,-7,8,0,60,251,10,Lime
english,9,-7,8,1,60,251,10,Lime
english,9,-7,8,2,60,251,10,Lime
english,4,6,5,0,191,30,14,Red
english,4,6,5,1,191,30,14,Red.
english,4,6,5,2,191,30,14,Red
english,6,-2,-3,0,40,161,197,Teal
english,6,-2,-3,1,40,161,197,Sky blue
english,6,-2,-3,2,40,161,197,Sky blue
english,9,-1,8,0,248,246,48,Yellow.
english,9,-1,8,1,248,246,48,Yellow
english,9,-1,8,2,248,246,48,Yellow
english,5,7,4,0,229,15,64,Red
english,5,7,4,1,229,15,64,Red
english,5,7,4,2,229,15,64,Red
english,6,-5,3,0,27,172,86,Green
english,6,-5,3,1,27,172,86,Green
english,6,-5,3,2,27,172,86,Green
english,8,-5,7,0,111,220,8,Lime
english,8,-5,7,1,111,220,8,Lime green
english,8,-5,7,2,111,220,8,Lime green
english,8,-4,-1,0,79,221,223,Turquoise
english,8,-4,-1,1,79,221,223,Turquoise
english,8,-4,-1,2,79,221,223,Turquoise
english,5,7,3,0,225,24,71,Red
english,5,7,3,1,225,24,71,Red
english,5,7,3,2,225,24,71,Red
english,7,-5,6,0,72,180,30,Green.
english,7,-5,6,1,72,180,30,Green
english,7,-5,6,2,72,180,30,Green
english,5,7,2,0,222,17,81,Pink
english,5,7,2,1,222,17,81,Pink
english,5,7,2,2,222,17,81,Fuchsia
english,5,-1,-4,0,23,130,189,Blue
english,5,-1,-4,1,23,130,189,Blue
english,5,-1,-4,2,23,130,189,Blue
english,5,8,-4,0,224,45,202,Pink
english,5,8,-4,1,224,45,202,Magenta
english,5,8,-4,2,224,45,202,Magenta
english,5,0,-5,0,12,123,211,Blue
english,5,0,-5,1,12,123,211,Blue
english,5,0,-5,2,12,123,211,Blue
english,4,6,-1,0,182,34,124,Magenta
english,4,6,-1,1,182,34,124,Magenta
english,4,6,-1,2,182,34,124,Magenta
english,6,0,-6,0,40,135,240,Blue
english,6,0,-6,1,40,135,240,Blue
english,6,0,-6,2,40,135,240,Sky blue
english,7,-3,-2,0,64,192,202,Turquoise
english,7,-3,-2,1,64,192,202,Turquoise
english,7,-3,-2,2,64,192,202,Turquoise
english,8,1,8,0,252,199,34,Gold
english,8,1,8,1,252,199,34,Gold
english,8,1,8,2,252,199,34,Yellow
english,5,-2,-2,0,58,116,135,Teal
english,5,-2,-2,1,58,116,135,Teal
english,5,-2,-2,2,58,116,135,Teal
english,5,-4,5,0,68,135,23,Green
english,5,-4,5,1,68,135,23,Green
english,5,-4,5,2,68,135,23,Green
english,5,-3,0,0,33,120,113,Teal
english,5,-3,0,1,33,120,113,Teal
english,5,-3,0,2,33,120,113,Teal
english,3,-3,3,0,2,77,2,Forest green.
english,3,-3,3,1,2,77,2,Forest green
english,3,-3,3,2,2,77,2,Forest green.
english,7,-6,4,0,1,197,90,Green
english,7,-6,4,1,1,197,90,Green.
english,7,-6,4,2,1,197,90,Green
english,8,-6,6,0,92,220,54,Lime
english,8,-6,6,1,92,220,54,Lime.
english,8,-6,6,2,92,220,54,Green.
english,6,5,6,0,231,92,26,Orange
english,6,5,6,1,231,92,26,Orange
english,6,5,6,2,231,92,26,Orange
english,7,3,7,0,222,140,27,Orange
english,7,3,7,1,222,140,27,Orange
english,7,3,7,2,222,140,27,Orange
english,5,-4,3,0,66,141,70,Green
english,5,-4,3,1,66,141,70,Green
english,5,-4,3,2,66,141,70,Green
english,8,0,8,0,224,196,15,Yellow
english,8,0,8,1,224,196,15,Yellow
english,8,0,8,2,224,196,15,Yellow
english,6,-4,0,0,50,170,157,Turquoise
english,6,-4,0,1,50,170,157,Teal
english,6,-4,0,2,50,170,157,Turquoise
english,5,7,0,0,234,50,137,Pink
english,5,7,0,1,234,50,137,Pink
english,5,7,0,2,234,50,137,Pink
english,6,-2,-4,0,16,159,219,Sky blue
english,6,-2,-4,1,16,159,219,Sky blue
english,6,-2,-4,2,16,159,219,Sky blue
english,5,8,-5,0,220,48,227,Magenta
english,5,8,-5,1,220,48,227,Magenta.
english,5,8,-5,2,220,48,227,Magenta
english,8,-6,5,0,82,234,103,Green
english,8,-6,5,1,82,234,103,Green
english,8,-6,5,2,82,234,103,Green
english,2,4,-6,0,59,34,147,Purple
english,2,4,-6,1,59,34,147,Purple
english,2,4,-6,2,59,34,147,Purple
english,7,-5,3,0,85,194,117,Mint
english,7,-5,3,1,85,194,117,Mint green.
english,7,-5,3,2,85,194,117,Green
english,7,-5,1,0,5,185,149,Turquoise
english,7,-5,1,1,5,185,149,Turquoise
english,7,-5,1,2,5,185,149,Teal
english,5,1,-6,0,22,106,217,Blue
english,5,1,-6,1,22,106,217,Blue
english,5,1,-6,2,22,106,217,Blue
english,4,6,4,0,191,25,38,Red
english,4,6,4,1,191,25,38,Red
english,4,6,4,2,191,25,38,Red
english,5,-4,4,0,55,137,35,Green.
english,5,-4,4,1,55,137,35,Green
english,5,-4,4,2,55,137,35,Green.
english,5,7,-1,0,234,45,150,Pink
english,5,7,-1,1,234,45,150,Pink
english,5,7,-1,2,234,45,150,Pink
english,6,8,-5,0,247,56,247,Magenta
english,6,8,-5,1,247,56,247,Magenta
english,6,8,-5,2,247,56,247,Pink
english,4,7,-7,0,171,18,221,Purple
english,4,7,-7,1,171,18,221,Purple
english,4,7,-7,2,171,18,221,Purple
english,6,9,-6,0,231,17,245,Magenta
english,6,9,-6,1,231,17,245,Magenta
english,6,9,-6,2,231,17,245,Magenta
english,6,-3,-1,0,37,147,154,Teal
english,6,-3,-1,1,37,147,154,Teal
english,6,-3,-1,2,37,147,154,Teal
english,8,-4,7,0,139,215,46,Lime
english,8,-4,7,1,139,215,46,Lime
english,8,-4,7,2,139,215,46,Lime
english,6,-5,6,0,59,155,3,Green
english,6,-5,6,1,59,155,3,Green
english,6,-5,6,2,59,155,3,Green.
english,4,1,-6,0,24,96,191,Blue
english,4,1,-6,1,24,96,191,Blue
english,4,1,-6,2,24,96,191,Blue
english,5,-4,2,0,46,140,81,Green
english,5,-4,2,1,46,140,81,Green
english,5,-4,2,2,46,140,81,Green
english,3,2,-6,0,35,68,172,Blue
english,3,2,-6,1,35,68,172,Blue.
english,3,2,-6,2,35,68,172,Blue
english,8,-7,5,0,43,232,91,Green.
english,8,-7,5,1,43,232,91,Green
english,8,-7,5,2,43,232,91,Green
english,9,-6,2,0,93,250,175,Mint green
english,9,-6,2,1,93,250,175,Mint
english,9,-6,2,2,93,250,175,Mint green
english,3,3,-7,0,6,52,176,Blue
english,3,3,-7,1,6,52,176,Blue
english,3,3,-7,2,6,52,176,Blue
english,5,2,-7,0,58,100,235,Blue
english,5,2,-7,1,58,100,235,Blue
english,5,2,-7,2,58,100,235,Blue
english,4,6,0,0,174,18,98,Magenta
english,4,6,0,1,174,18,98,Magenta
english,4,6,0,2,174,18,98,Magenta
english,8,-5,2,0,74,210,157,Mint.
english,8,-5,2,1,74,210,157,Mint
english,8,-5,2,2,74,210,157,Mint
english,6,8,-4,0,233,61,210,Pink
english,6,8,-4,1,233,61,210,Pink
english,6,8,-4,2,233,61,210,Pink
english,4,0,-4,0,39,99,163,Blue
english,4,0,-4,1,39,99,163,Blue
english,4,0,-4,2,39,99,163,Blue
english,8,-3,-3,0,44,207,244,Sky blue
english,8,-3,-3,1,44,207,244,Turquoise
english,8,-3,-3,2,44,207,244,Cyan
english,7,-2,-3,0,83,178,215,Sky blue
english,7,-2,-3,1,83,178,215,Sky blue
english,7,-2,-3,2,83,178,215,Sky blue.
english,8,-3,7,0,163,208,29,Lime
english,8,-3,7,1,163,208,29,Lime
english,8,-3,7,2,163,208,29,Lime
english,3,5,4,0,140,11,14,Maroon
english,3,5,4,1,140,11,14,Maroon
english,3,5,4,2,140,11,14,Maroon
english,4,6,-3,0,169,17,147,Magenta.
english,4,6,-3,1,169,17,147,Purple
english,4,6,-3,2,169,17,147,Purple
english,5,6,6,0,199,55,11,Rust
english,5,6,6,1,199,55,11,Rust
english,5,6,6,2,199,55,11,Rust
english,9,-6,8,0,129,248,16,Lime
english,9,-6,8,1,129,248,16,Lime
english,9,-6,8,2,129,248,16,Lime green
english,4,6,-5,0,158,43,190,Purple
english,4,6,-5,1,158,43,190,Purple
english,4,6,-5,2,158,43,190,Purple
english,4,6,-2,0,181,36,133,Magenta
english,4,6,-2,1,181,36,133,Magenta.
english,4,6,-2,2,181,36,133,Magenta
english,3,1,-5,0,12,71,159,Blue
english,3,1,-5,1,12,71,159,Blue
english,3,1,-5,2,12,71,159,Blue
english,5,-2,-3,0,17,130,174,Teal
english,5,-2,-3,1,17,130,174,Blue
english,5,-2,-3,2,17,130,174,Blue
english,3,4,-8,0,25,36,192,Blue
english,3,4,-8,1,25,36,192,Blue
english,3,4,-8,2,25,36,192,Blue.
english,5,-3,-1,0,3,129,124,Teal
english,5,-3,-1,1,3,129,124,Teal
english,5,-3,-1,2,3,129,124,Teal
english,4,5,5,0,175,50,6,Rust
english,4,5,5,1,175,50,6,Rust
english,4,5,5,2,175,50,6,Rust
english,5,7,-3,0,217,35,167,Pink
english,5,7,-3,1,217,35,167,Magenta
english,5,7,-3,2,217,35,167,Pink
english,6,4,6,0,217,105,33,Orange
english,6,4,6,1,217,105,33,Orange
english,6,4,6,2,217,105,33,Orange
english,6,-4,6,0,96,158,19,Green
english,6,-4,6,1,96,158,19,Green
english,6,-4,6,2,96,158,19,Green
english,6,2,6,0,195,124,11,Amber
english,6,2,6,1,195,124,11,Ochre
english,6,2,6,2,195,124,11,Amber
english,4,6,3,0,174,19,48,Red
english,4,6,3,1,174,19,48,Red
english,4,6,3,2,174,19,48,Red
english,6,-5,2,0,44,171,111,Green
english,6,-5,2,1,44,171,111,Green
english,6,-5,2,2,44,171,111,Green
english,7,2,7,0,244,167,36,Orange.
english,7,2,7,1,244,167,36,Orange
english,7,2,7,2,244,167,36,Orange
english,2,3,-6,0,19,34,145,Blue
english,2,3,-6,1,19,34,145,Blue
english,2,3,-6,2,19,34,145,Blue
english,6,0,-5,0,65,138,228,Sky blue
english,6,0,-5,1,65,138,228,Blue
english,6,0,-5,2,65,138,228,Blue
english,5,7,-2,0,209,20,152,Magenta.
english,5,7,-2,1,209,20,152,Magenta
english,5,7,-2,2,209,20,152,Magenta
english,5,0,-6,0,18,119,225,Blue
english,5,0,-6,1,18,119,225,Blue
english,5,0,-6,2,18,119,225,Blue
english,4,6,-4,0,167,40,174,Purple
english,4,6,-4,1,167,40,174,Purple
english,4,6,-4,2,167,40,174,Purple
english,6,3,6,0,209,126,42,Orange
english,6,3,6,1,209,126,42,Orange
english,6,3,6,2,209,126,42,Orange
english,7,-4,6,0,121,204,56,Lime
english,7,-4,6,1,121,204,56,Lime
english,7,-4,6,2,121,204,56,Lime
english,4,-3,1,0,38,96,68,Green
english,4,-3,1,1,38,96,68,Green.
english,4,-3,1,2,38,96,68,Forest green.
english,5,-2,5,0,112,131,28,Olive
english,5,-2,5,1,112,131,28,Olive
english,5,-2,5,2,112,131,28,Olive
english,6,-1,-4,0,100,156,218,Sky blue.
english,6,-1,-4,1,100,156,218,Sky blue
english,6,-1,-4,2,100,156,218,Sky blue
english,5,7,-4,0,204,68,199,Magenta
english,5,7,-4,1,204,68,199,Pink
english,5,7,-4,2,204,68,199,Purple
english,3,6,-8,0,90,6,208,Purple
english,3,6,-8,1,90,6,208,Purple
english,3,6,-8,2,90,6,208,Purple
english,5,8,-1,0,223,12,137,Pink
english,5,8,-1,1,223,12,137,Fuchsia
english,5,8,-1,2,223,12,137,Magenta
english,8,-5,-1,0,42,222,207,Turquoise
english,8,-5,-1,1,42,222,207,Turquoise
english,8,-5,-1,2,42,222,207,Turquoise
english,6,-3,6,0,113,161,21,Olive green.
english,6,-3,6,1,113,161,21,Green
english,6,-3,6,2,113,161,21,Olive
english,9,-4,-1,0,103,249,252,Turquoise
english,9,-4,-1,1,103,249,252,Turquoise
english,9,-4,-1,2,103,249,252,Turquoise
english,8,-7,8,0,38,238,20,Lime
english,8,-7,8,1,38,238,20,Lime green
english,8,-7,8,2,38,238,20,Green
english,5,-3,5,0,77,128,2,Olive
english,5,-3,5,1,77,128,2,Olive green.
english,5,-3,5,2,77,128,2,Olive
english,4,-4,3,0,6,111,46,Green
english,4,-4,3,1,6,111,46,Green
english,4,-4,3,2,6,111,46,Green
english,9,-7,7,0,26,246,71,Green
english,9,-7,7,1,26,246,71,Green
english,9,-7,7,2,26,246,71,Green
english,5,8,-3,0,216,15,172,Magenta
english,5,8,-3,1,216,15,172,Magenta
english,5,8,-3,2,216,15,172,Magenta
english,7,4,7,0,239,126,4,Orange
english,7,4,7,1,239,126,4,Orange
english,7,4,7,2,239,126,4,Orange
english,9,-6,3,0,99,250,154,Mint
english,9,-6,3,1,99,250,154,Mint green
english,9,-6,3,2,99,250,154,Mint
english,4,-2,-1,0,41,94,101,Teal
english,4,-2,-1,1,41,94,101,Teal
english,4,-2,-1,2,41,94,101,Teal
english,5,7,-6,0,198,68,243,Purple
english,5,7,-6,1,198,68,243,Purple
english,5,7,-6,2,198,68,243,Purple
english,6,8,-3,0,251,24,187,Pink
english,6,8,-3,1,251,24,187,Pink
english,6,8,-3,2,251,24,187,Pink
english,6,1,6,0,190,140,32,Amber
english,6,1,6,1,190,140,32,Amber
english,6,1,6,2,190,140,32,Amber
english,7,-3,6,0,133,186,31,Lime
english,7,-3,6,1,133,186,31,Lime
english,7,-3,6,2,133,186,31,Lime
