lang,binL,binA,binB,sample_idx,rgb_R,rgb_G,rgb_B,gpt_raw
german,4,1,-6,2,24,96,191,Blau
german,3,4,-8,0,25,36,192,Blau
german,3,4,-8,1,25,36,192,Blau
german,3,4,-8,2,25,36,192,Blau
german,5,8,-7,0,195,46,251,Lila
german,5,8,-7,1,195,46,251,Lila
german,5,8,-7,2,195,46,251,Lila
german,5,7,6,0,239,52,11,Rot
german,5,7,6,1,239,52,11,Rot
german,5,7,6,2,239,52,11,Rot
german,2,0,-3,0,13,42,78,Dunkelblau
german,2,0,-3,1,13,42,78,Dunkelblau
german,2,0,-3,2,13,42,78,Marineblau
german,3,4,4,0,136,44,3,Braun.
german,3,4,4,1,136,44,3,Braun
german,3,4,4,2,136,44,3,Braun.
german,9,-7,4,0,15,254,140,Grün
german,9,-7,4,1,15,254,140,Grün
german,9,-7,4,2,15,254,140,Grün
german,5,-3,3,0,79,123,59,Grün
german,5,-3,3,1,79,123,59,Grün
german,5,-3,3,2,79,123,59,Grün
german,5,7,5,0,213,21,39,Rot
german,5,7,5,1,213,21,39,Rot
german,5,7,5,2,213,21,39,Rot
german,3,6,-9,0,80,11,216,Violett
german,3,6,-9,1,80,11,216,Lila
german,3,6,-9,2,80,11,216,Violett
german,3,-3,3,0,2,77,2,Dunkelgrün
german,3,-3,3,1,2,77,2,Dunkelgrün
german,3,-3,3,2,2,77,2,Dunkelgrün
german,8,-3,5,0,158,215,90,Lindgrün
german,8,-3,5,1,158,215,90,Hellgrün
german,8,-3,5,2,158,215,90,Hellgrün
german,9,-6,3,0,99,250,154,Grün
german,9,-6,3,1,99,250,154,Mintgrün
german,9,-6,3,2,99,250,154,Mintgrün
german,7,-1,7,0,177,171,16,Olivgrün
german,7,-1,7,1,177,171,16,Olivgrün
german,7,-1,7,2,177,171,16,Olivgrün
german,5,2,3,0,151,97,66,Braun
german,5,2,3,1,151,97,66,Braun.
german,5,2,3,2,151,97,66,Braun
german,2,4,-6,0,59,34,147,Violett
german,2,4,-6,1,59,34,147,Violett
german,2,4,-6,2,59,34,147,Violett
german,8,-2,-2,0,116,208,236,Hellblau
german,8,-2,-2,1,116,208,236,Hellblau
german,8,-2,-2,2,116,208,236,Hellblau
german,7,3,6,0,231,149,46,Orange
german,7,3,6,1,231,149,46,Orange
german,7,3,6,2,231,149,46,Orange
german,7,2,7,0,244,167,36,Orange
german,7,2,7,1,244,167,36,Orange
german,7,2,7,2,244,167,36,Orange
german,7,-5,3,0,85,194,117,Grün
german,7,-5,3,1,85,194,117,Grün
german,7,-5,3,2,85,194,117,Grün
german,7,-6,5,0,52,203,64,Grün
german,7,-6,5,1,52,203,64,Grün.
german,7,-6,5,2,52,203,64,Grün
